"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Argentina","Lebanon","2016","1","","1",""
"Armenia","Lebanon","2016","19","5","19","5"
"Australia","Lebanon","2016","529","","529",""
"Austria","Lebanon","2016","76","","76",""
"Belarus","Lebanon","2016","2","2","2","2"
"Belgium","Lebanon","2016","99","","99",""
"Brazil","Lebanon","2016","399","10","399","10"
"Bulgaria","Lebanon","2016","25","25","25","25"
"Canada","Lebanon","2016","741","","741",""
"Curaçao","Lebanon","2016","1","1","1","1"
"Cyprus","Lebanon","2016","45","1","45","1"
"Czechia","Lebanon","2016","4","","4",""
"Denmark","Lebanon","2016","25","","25",""
"Finland","Lebanon","2016","19","","19",""
"France","Lebanon","2016","134","","134",""
"Georgia","Lebanon","2016","6","5","6","5"
"Germany","Lebanon","2016","804","","804",""
"Ghana","Lebanon","2016","7","7","7","7"
"Greece","Lebanon","2016","16","","16",""
"Hungary","Lebanon","2016","7","","7",""
"Ireland","Lebanon","2016","13","","13",""
"Israel","Lebanon","2016","2","2","2","2"
"Italy","Lebanon","2016","349","","349",""
"Jordan","Lebanon","2016","3","3","3","3"
"Kuwait","Lebanon","2016","5","5","5","5"
"Luxembourg","Lebanon","2016","2","","2",""
"Malaysia","Lebanon","2016","5","5","5","5"
"Malta","Lebanon","2016","1","","1",""
"Mauritania","Lebanon","2016","2","2","2","2"
"Mexico","Lebanon","2016","1","","1",""
"Nauru","Lebanon","2016","10","","10",""
"Netherlands","Lebanon","2016","32","","32",""
"New Zealand","Lebanon","2016","2","","2",""
"Nigeria","Lebanon","2016","1","1","1","1"
"Norway","Lebanon","2016","40","","40",""
"Peru","Lebanon","2016","1","","1",""
"Philippines","Lebanon","2016","1","1","1","1"
"Poland","Lebanon","2016","2","","2",""
"Romania","Lebanon","2016","5","1","5","1"
"Russian Federation","Lebanon","2016","7","7","7","7"
"Serbia (and Kosovo: S/RES/1244 (1999))","Lebanon","2016","2","2","2","2"
"South Africa","Lebanon","2016","2","","2",""
"Spain","Lebanon","2016","10","","10",""
"Sweden","Lebanon","2016","638","","638",""
"Switzerland","Lebanon","2016","44","","44",""
"Syrian Arab Rep.","Lebanon","2016","27","27","27","27"
"Turkey","Lebanon","2016","13","13","13","13"
"Ukraine","Lebanon","2016","9","","9",""
"United Kingdom","Lebanon","2016","129","","129",""
"United States","Lebanon","2016","404","","404",""
"Venezuela (Bolivarian Republic of)","Lebanon","2016","12","10","12","10"
"Zambia","Lebanon","2016","6","6","6","6"
"Zimbabwe","Lebanon","2016","1","1","1","1"
"Armenia","Lebanon","2015","19","5","19","5"
"Australia","Lebanon","2015","485","","485",""
"Austria","Lebanon","2015","63","","63",""
"Belarus","Lebanon","2015","2","2","2","2"
"Belgium","Lebanon","2015","109","","109",""
"Brazil","Lebanon","2015","399","8","399","8"
"Bulgaria","Lebanon","2015","18","18","18","18"
"Canada","Lebanon","2015","867","","867",""
"Côte d'Ivoire","Lebanon","2015","1","1","1","1"
"Curaçao","Lebanon","2015","1","1","1","1"
"Cyprus","Lebanon","2015","39","2","39","2"
"Czechia","Lebanon","2015","4","","4",""
"Denmark","Lebanon","2015","24","","24",""
"Ecuador","Lebanon","2015","6","","6",""
"Finland","Lebanon","2015","11","","11",""
"France","Lebanon","2015","117","","117",""
"Georgia","Lebanon","2015","6","6","6","6"
"Germany","Lebanon","2015","521","","521",""
"Ghana","Lebanon","2015","7","7","7","7"
"Greece","Lebanon","2015","9","","9",""
"Hungary","Lebanon","2015","13","","13",""
"Ireland","Lebanon","2015","13","","13",""
"Israel","Lebanon","2015","2","2","2","2"
"Italy","Lebanon","2015","348","","348",""
"Jordan","Lebanon","2015","3","3","3","3"
"Kuwait","Lebanon","2015","5","5","5","5"
"Luxembourg","Lebanon","2015","2","","2",""
"Malaysia","Lebanon","2015","5","5","5","5"
"Malta","Lebanon","2015","1","","1",""
"Mexico","Lebanon","2015","1","","1",""
"Nauru","Lebanon","2015","10","","10",""
"Netherlands","Lebanon","2015","37","","37",""
"New Zealand","Lebanon","2015","2","","2",""
"Norway","Lebanon","2015","30","","30",""
"Peru","Lebanon","2015","1","","1",""
"Philippines","Lebanon","2015","1","1","1","1"
"Poland","Lebanon","2015","2","","2",""
"Qatar","Lebanon","2015","1","1","1","1"
"Romania","Lebanon","2015","4","2","4","2"
"Russian Federation","Lebanon","2015","8","8","8","8"
"Serbia (and Kosovo: S/RES/1244 (1999))","Lebanon","2015","2","2","2","2"
"South Africa","Lebanon","2015","3","","3",""
"Spain","Lebanon","2015","2","","2",""
"Sweden","Lebanon","2015","532","","532",""
